title;year;genre;director;synopsis;duration;language;posterUrl
El Caballero Oscuro;2008;Acción;Christopher Nolan;Batman enfrenta al Joker, un criminal que amenaza con sumir Gotham en el caos, en una tensa batalla entre el orden y la anarquía.;152;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Caballero+Oscuro
El Origen;2010;Ciencia Ficción;Christopher Nolan;Un ladrón especializado en robar secretos del subconsciente debe plantar una idea en la mente de su objetivo.;148;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Origen
Mad Max: Furia en la Carretera;2015;Acción;George Miller;En un mundo postapocalíptico, Max se une a Furiosa para huir de un tirano y su ejército a través del desierto.;120;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Mad+Max
John Wick;2014;Acción;Chad Stahelski;Un ex asesino vuelve al mundo del crimen para vengarse de quienes mataron a su perro y robaron su coche.;101;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=John+Wick
Jungla de Cristal;1988;Acción;John McTiernan;Un policía de Nueva York lucha solo contra un grupo de terroristas que ha tomado un rascacielos por rehenes.;132;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Jungla+de+Cristal
Los Vengadores;2012;Acción;Joss Whedon;Los superhéroes más poderosos de la Tierra se unen para evitar que Loki entregue la Tierra a una conquista extraterrestre.;143;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Los+Vengadores
Misión Imposible: Fallout;2018;Acción;Christopher McQuarrie;Ethan Hunt y su equipo deben recuperar plutonio robado antes de que caiga en manos equivocadas.;147;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=MI+Fallout
Top Gun: Maverick;2022;Acción;Joseph Kosinski;El legendario piloto Maverick regresa para entrenar a una nueva generación de pilotos de élite para una peligrosa misión.;130;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Top+Gun
Avatar;2009;Ciencia Ficción;James Cameron;Un marine parapléjico viaja al planeta Pandora, donde se ve atrapado entre las fuerzas humanas y los nativos Na'vi.;162;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Avatar
Gladiator;2000;Acción;Ridley Scott;Un general romano traicionado se convierte en esclavo gladiador y busca venganza contra el corrupto emperador que mató a su familia.;155;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Gladiator
Cadena Perpetua;1994;Drama;Frank Darabont;Dos hombres encarcelados forjan una amistad a lo largo de los años y encuentran consuelo y redención en actos de decencia común.;142;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Cadena+Perpetua
Forrest Gump;1994;Drama;Robert Zemeckis;A través de décadas de historia americana, un hombre de baja inteligencia pero buen corazón vive una vida extraordinaria.;142;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Forrest+Gump
La Lista de Schindler;1993;Drama;Steven Spielberg;Durante la Segunda Guerra Mundial, un empresario alemán salva las vidas de más de mil judíos polacos contratándolos en su fábrica.;195;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=La+Lista+de+Schindler
El Padrino;1972;Crimen;Francis Ford Coppola;El patriarca de una poderosa familia mafiosa transfiere el control de su imperio clandestino a su hijo, que tarda en ser consciente del peso de su herencia.;175;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Padrino
12 Hombres sin Piedad;1957;Drama;Sidney Lumet;El destino de un joven acusado de asesinato depende de doce jurados que deben deliberar y ponerse de acuerdo para declararlo culpable.;96;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=12+Hombres
El Indomable Will Hunting;1997;Drama;Gus Van Sant;Un genio autodidacta que trabaja como conserje en el MIT recibe ayuda de un terapeuta para encauzar su talento y sanar sus heridas.;126;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Will+Hunting
Una Mente Maravillosa;2001;Drama;Ron Howard;La vida del brillante matemático John Nash, su lucha contra la esquizofrenia paranoide y su camino hacia el Premio Nobel.;135;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Una+Mente+Maravillosa
El Silencio de los Corderos;1991;Thriller;Jonathan Demme;Una agente del FBI en prácticas busca la ayuda del psiquiatra y caníbal Hannibal Lecter para atrapar a un asesino en serie.;118;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=El+Silencio
Whiplash;2014;Drama;Damien Chazelle;Un joven baterista de jazz es sometido a la tutela obsesiva de un exigente director de orquesta en una escuela de música de élite.;107;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Whiplash
Parásitos;2019;Thriller;Bong Joon-ho;Una familia sin recursos infiltra su vida en la de una familia adinerada con devastadoras consecuencias.;132;Coreano;https://placehold.co/300x450/1a1a2e/c9a227?text=Parasitos
2001: Una Odisea del Espacio;1968;Ciencia Ficción;Stanley Kubrick;La humanidad descubre un monolito negro enterrado en la Luna y envía una nave hacia Júpiter. A bordo, la IA HAL 9000 muestra comportamientos inesperados.;149;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=2001+Odisea
Blade Runner 2049;2017;Ciencia Ficción;Denis Villeneuve;Un nuevo blade runner descubre un secreto enterrado que amenaza con sumir a la sociedad en el caos.;163;Inglés;https://placehold.co/300x450/1a1a2e/c9a227?text=Blade+Runner+2049
